Last Name,First Name,Middle Initials,Student ID,Course ID,Test Form Code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,75
PEN WHITEOUT,XX,ZZ,246788765,2,C,A,B,B,D,C,[C|E],C,E,D,E,,B,C,B,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MESSY,XX,ZZ,9897968 95,1235456666,C,A,C,,B,C,B,C,B,D,C,B,A,E,E,,,[A|B],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,
MULTIPLE,XX,ZZ,6654989578,123,F,A,[A|B|C|D|E],[A|C|E],[B|D],[A|B|E],A,B,C,D,E,[C|D],C,C,B,C,[D|E],[A|B],[D|E],C,B,B,C,B,A,B,A,C,D,D,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,[B|D],C,B,D,B,D,B,[A|E],B,E,C,B,C,B,
SCRIBBLED,XX,ZZ,102453212,,D,A,B,A,B,B,C,D,E,D,C,B,D,E,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
ERASED,XX,ZZ,123456789,102345655,,A,B,A,C,C,D,A,C,D,B,E,C,E,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE PEN,XX,ZZ,0,99,A,B,A,C,D,E,C,B,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVID,XHAFER,YN,123456789,9876543210,F,C,B,D,B,C,E,A,B,A,B,C,B,A,B,C,A,B,C,B,C,B,C,B,A,B,C,D,C,B,C,C,B,A,B,B,D,D,C,D,C,B,C,B,D,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON,RAELYN,RY,1357924686,99999999,[A|C],A,A,A,B,C,C,A,E,C,B,D,B,C,B,D,A,D,D,A,B,C,B,C,C,C,B,B,D,C,C,E,E,A,A,C,B,C,B,C,B,B,D,E,A,B,E,D,D,C,B,C,D,D,D,C,A,B,D,E,D,A,B,A,B,C,A,B,A,B,A,B,C,D,C,D,D
PARISI,MAHIR,SE,13579753,1325,,E,D,C,B,A,B,B,A,B,C,B,B,D,E,E,,E,C,D,C,C,B,C,B,C,B,A,A,A,E,A,B,C,D,E,D,C,B,A,B,A,B,D,C,B,A,B,C,D,E,C,B,C,C,C,B,B,B,B,B,A,B,C,D,E,D,E,D,C,C,C,B,B,C,B,B
PATERNOSTER,AUGUST,SO,12153746,4512,D,A,C,B,D,C,B,C,D,E,D,[B|C],,C,C,B,A,,C,B,,C,C,B,C,A,A,E,C,B,D,A,C,B,A,A,B,C,B,C,D,E,C,B,B,[B|D],A,C,B,B,B,C,B,C,B,B,C,B,B,C,C,B,B,A,B,B,B,B,A,B,D,D,E,D,D,E,E
